"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"10b0931b-7896-4749-b11a-c036a5b49f16";"b86848a0b27f266f378792f93f936f3a";"b46cebcf6bb32a2c73c2c22fc34c7852";"d41d8cd98f00b204e9800998ecf8427e";"OpenOLAT_9.3.5";-1
"4f0fb2c1-de88-415a-9c26-9682e1593bea";"b94487a0c3d48ff968cc127db32b8a4d";"0586ec75e4fa945e05d2c9c3a3347858";"14e9331f4b4e87a1bad57f0a75149a63";"2.1.3";45
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"bad77a7bbf35bb064326cacb5d504e4f";"9d73ea643598319c904baf36752bbef7";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";30
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"bad77a7bbf35bb064326cacb5d504e4f";"9d73ea643598319c904baf36752bbef7";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";22
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"bad77a7bbf35bb064326cacb5d504e4f";"9d73ea643598319c904baf36752bbef7";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";34
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"bad77a7bbf35bb064326cacb5d504e4f";"9d73ea643598319c904baf36752bbef7";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";11
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"bad77a7bbf35bb064326cacb5d504e4f";"9d73ea643598319c904baf36752bbef7";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";31
"679734a7-af20-465e-8c13-8339259c039e";"bbfba76dc7be0ac4a448c5cd1a9759e5";"94caaf6d9bfa35ad0dd504ee4c6ed85f";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";3
"679734a7-af20-465e-8c13-8339259c039e";"bbfba76dc7be0ac4a448c5cd1a9759e5";"94caaf6d9bfa35ad0dd504ee4c6ed85f";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";30
"679734a7-af20-465e-8c13-8339259c039e";"bbfba76dc7be0ac4a448c5cd1a9759e5";"94caaf6d9bfa35ad0dd504ee4c6ed85f";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";175
"679734a7-af20-465e-8c13-8339259c039e";"bbfba76dc7be0ac4a448c5cd1a9759e5";"94caaf6d9bfa35ad0dd504ee4c6ed85f";"d41d8cd98f00b204e9800998ecf8427e";"10.10.1";11
"0bdc2c7a-eef7-482e-86c6-84638f8c3038";"bc72889b311672807fc488603507df34";"ea4f6b6db25d7bfb1bd9aaec84a90e1e";"d41d8cd98f00b204e9800998ecf8427e";"3.5.4";35
